position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.946,0.248,4,4
2,32.596,0.448,4,4
3,33.396,0.398,3,4
4,32.896,-0.152,4,4
5,32.546,0.048,4,4
6,33.296,-0.352,4,4
7,34.196,-0.052,2,4
8,33.746,0.198,4,4
9,33.346,-0.002,4,4
10,32.146,0.248,4,4
11,33.746,-0.202,4,4
12,34.596,0.098,3,4
13,34.496,-0.152,4,2
14,31.746,0.148,3,3
15,35.346,0.248,2,1
16,32.496,-0.202,1,3
17,32.096,-0.052,2,3
18,34.846,-0.002,3,1
19,31.696,-0.202,2,3
20,33.696,0.148,4,4
21,34.246,0.248,3,4
22,34.046,-0.002,4,4
23,34.046,0.398,4,4
24,35.146,-0.052,1,1
25,31.346,0.248,1,1
26,31.146,0.098,2,1
27,33.346,0.048,4,4
28,33.496,-0.252,3,2
29,33.646,-0.452,3,2
30,30.996,0.098,2,1
31,33.846,0.448,2,4
32,34.046,-0.352,4,3
33,33.246,0.398,4,4
34,32.646,0.148,3,3
35,31.896,0.048,3,2
36,35.396,-0.052,1,1
37,34.946,-0.202,1,1
38,32.846,-0.402,1,2
39,32.496,0.348,4,3
40,33.746,-0.152,4,4
41,32.946,-0.102,4,4
42,34.296,0.048,3,2
43,34.746,0.198,3,2
44,31.646,0.248,3,3
45,33.496,0.448,4,3
46,35.446,0.098,1,2
47,30.946,0.248,2,2
48,34.046,-0.452,4,4
49,32.946,0.448,4,4
50,30.946,-0.152,2,2
51,30.946,-0.102,2,2
52,32.896,0.448,4,4
53,34.596,-0.202,4,4
54,35.446,-0.202,1,2
